"レコードの開始行","レコード番号","更新者","更新日時","作成日時","作成者","会社名","先方担当者","案件担当者名","部署名","TEL","FAX","メールアドレス","見込み時期","確度","製品名","単価","ユーザー数","小計","活動日","活動内容","メモ"
"*","20","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社エイト食品","小林 学","","品質管理本部","03-3211-xxxx","03-3211-xxxx","manabu-kobayashi@sample.com","2018/10/01","A","kintone","1500","2000","3000000","2018/03/15","イベント","ブースにて品質管理業務の改善についてご相談いただきました。"
,"20","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社エイト食品","小林 学","","品質管理本部","03-3211-xxxx","03-3211-xxxx","manabu-kobayashi@sample.com","2018/10/01","A","kintone","1500","2000","3000000","2018/03/19","電話","ブース対応の補足として同業務での活用事例を電話でご案内しました。"
,"20","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社エイト食品","小林 学","","品質管理本部","03-3211-xxxx","03-3211-xxxx","manabu-kobayashi@sample.com","2018/10/01","A","kintone","1500","2000","3000000","2018/04/06","訪問/来訪","小林様からの社内勉強会への参加を要請いただいたので、参加しました。"
"*","19","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","はんなりフーズ株式会社","東坂本 裕次郎","","IT戦略室","075-998-xxxx","075-999-xxxx","yujiro-higashi@sample.co.jp","2018/11/30","B","kintone","1500","150","225000","2018/03/12","イベント","IT Peakの展示ブースにて製品紹介、名刺交換。"
,"19","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","はんなりフーズ株式会社","東坂本 裕次郎","","IT戦略室","075-998-xxxx","075-999-xxxx","yujiro-higashi@sample.co.jp","2018/11/30","B","kintone","1500","150","225000","2018/04/02","メール","お試し中に不明点が出てきたため問い合わせ。ルックアップフィールドの説明と、ハンズオンセミナーの案内。"
,"19","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","はんなりフーズ株式会社","東坂本 裕次郎","","IT戦略室","075-998-xxxx","075-999-xxxx","yujiro-higashi@sample.co.jp","2018/11/30","B","kintone","1500","150","225000","2018/04/23","セミナー","ハンズオンセミナーに参加。下期の導入を検討しているとのこと。150ユーザーの見積もりを要望。"
"*","18","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","山崎自動車教習所","山田 健介","","営業部","94-0944-xxxx","06-4334-xxxx","yamada@sample.co.jp","2018/12/26","A","kintone","780","5","3900","2017/11/30","セミナー","お試し登録済み。kintoneハンズオンセミナーに参加。"
,"18","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","山崎自動車教習所","山田 健介","","営業部","94-0944-xxxx","06-4334-xxxx","yamada@sample.co.jp","2018/12/26","A","kintone","780","5","3900","2017/11/30","導入相談","利用用途ヒアリング。見積もり依頼を受ける。"
,"18","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","山崎自動車教習所","山田 健介","","営業部","94-0944-xxxx","06-4334-xxxx","yamada@sample.co.jp","2018/12/26","A","kintone","780","5","3900","2017/11/30","メール","メールで見積もりを提示。"
,"18","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","山崎自動車教習所","山田 健介","","営業部","94-0944-xxxx","06-4334-xxxx","yamada@sample.co.jp","2018/12/26","A","kintone","780","5","3900","2017/11/30","電話"," ご発注の連絡。"
"*","17","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","有限会社HAYABUSA","池田 翔太","","営業部長","0268-24-xxxx","0268-24-xxxx","shota.i@sample.com","2019/06/10","A","kintone","1500","5","7500","2018/05/10","電話","知人の紹介から、代表電話に入電。要望をヒアリング。セミナーをご案内。"
,"17","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","有限会社HAYABUSA","池田 翔太","","営業部長","0268-24-xxxx","0268-24-xxxx","shota.i@sample.com","2019/06/10","A","kintone","1500","5","7500","2018/05/16","導入相談","導入をお急ぎであるということで、導入相談Cafeにて対応。"
,"17","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","有限会社HAYABUSA","池田 翔太","","営業部長","0268-24-xxxx","0268-24-xxxx","shota.i@sample.com","2019/06/10","A","kintone","1500","5","7500","2018/05/31","訪問/来訪","導入済みで、再度確認したいことがあるとのことで来訪。"
"*","16","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社KK情報システム","小田桐 大地","","業務改革室","03-6835-xxxx","03-6835-xxxx","d-odagiri@sample.com","2018/11/01","C","kintone","1500","500","750000","2018/01/30","訪問/来訪","業務改革室の立ち上げに伴い情報交換のご相談があり来社。本部長と共に応対しました。"
,"16","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社KK情報システム","小田桐 大地","","業務改革室","03-6835-xxxx","03-6835-xxxx","d-odagiri@sample.com","2018/11/01","C","kintone","1500","500","750000","2018/02/15","訪問/来訪","お客様社内で実施された業務改革ワークショップに参加。"
,"16","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社KK情報システム","小田桐 大地","","業務改革室","03-6835-xxxx","03-6835-xxxx","d-odagiri@sample.com","2018/11/01","C","kintone","1500","500","750000","2018/03/08","セミナー","具体的な操作方法を学びたいということで、kintoneハンズオンセミナーに参加いただきました。"
"*","15","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","稲光水産","稲光 道信","","システム室","058-241-××××","058-241-××××","","2018/11/30","C","Garoon","800","300","240000","2018/09/30","セミナー","グループウェア移行セミナーに参加後フォロー"
,"15","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","稲光水産","稲光 道信","","システム室","058-241-××××","058-241-××××","","2018/11/30","C","Garoon","800","300","240000","2018/10/30","導入相談","来訪対応実施。要件に合わずに進行しなさそうなイメージ。"
"*","14","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","いつみ工業株式会社","吉澤 敏夫","","製造部","043?246?XXXX","043?246?XXXX","yoshitaka_itsumi@sample.com","2018/07/20","A","kintone","1500","50","75000","2018/01/19","導入相談","導入相談で来社。すでに試用もされていて、具体的なアプリ構成について質問"
,"14","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","いつみ工業株式会社","吉澤 敏夫","","製造部","043?246?XXXX","043?246?XXXX","yoshitaka_itsumi@sample.com","2018/07/20","A","kintone","1500","50","75000","2018/02/01","メール","追加の質問。アプリのアクセス権について。"
"*","13","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社ひふみファイナンス","護国 冴子","","情報企画部","06-4444-xxxx","06-5555-xxxx","gokoku@sample.co.jp","2018/12/21","A","Garoon","800","800","640000","2018/02/05","導入相談","グループウェア調査目的。今年末に刷新予定。デモを交えてGaroonの機能を紹介。お試し登録済み。「Garoon活用セミナー」を案内。"
,"13","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社ひふみファイナンス","護国 冴子","","情報企画部","06-4444-xxxx","06-5555-xxxx","gokoku@sample.co.jp","2018/12/21","A","Garoon","800","800","640000","2018/02/26","セミナー","「Garoon活用セミナー」に参加。社内でお試し中とのこと。800ユーザーの見積もり依頼を受ける。"
,"13","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","株式会社ひふみファイナンス","護国 冴子","","情報企画部","06-4444-xxxx","06-5555-xxxx","gokoku@sample.co.jp","2018/12/21","A","Garoon","800","800","640000","2018/03/01","メール","800ユーザーの見積もりを提示。"
"*","12","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","自然食品ウッディータウン","木下 肇","","代表","0268-23-xxxx","0268-23-xxxx","hajime.kinoshita@sample.com","2018/11/15","B","kintone","1500","15","22500","2018/06/29","メール","製品Webサイトからのお問い合わせ"
,"12","onchan","2019/11/22 20:39","2019/11/22 20:39","onchan","自然食品ウッディータウン","木下 肇","","代表","0268-23-xxxx","0268-23-xxxx","hajime.kinoshita@sample.com","2018/11/15","B","kintone","1500","15","22500","2018/06/29","電話","電話にて利用用途ヒアリング、事例ページとセミナーをご案内"
